카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
디지털테크,1,SE215SPE-PL-A,SHURE,SE215SPE Purple 사운드 아이솔레이팅  이어폰,151000,116000,53,https://www.musinsa.com/app/goods/2932230?loc=goods_rank
디지털테크,2,WH-XB910N,SONY,WH-XB910N 엑스트라 베이스 노이즈캔슬링 무선 헤드폰,"
                                                                                                                                                229000",229000,5791,https://www.musinsa.com/app/goods/2298134?loc=goods_rank
디지털테크,3,5002850121,DEVERS,변색방지 카드수납 아이폰 14/13/12/11/미니/프로/맥스/XS/XR/SE2/SE3/8/S23/S22/S21/S20/ 전기종 휴대폰 투명 카드 케이스,24000,7300,1043,https://www.musinsa.com/app/goods/3140978?loc=goods_rank
디지털테크,4,C228CARE02KHF,CUECLYP,커넥티드 에어팟 케이스 3 (Pro/3세대) - 카키,"
                                                                                                                                                22000",22000,30,https://www.musinsa.com/app/goods/2741427?loc=goods_rank
디지털테크,5,forest case,FOGBOW,forest case,"
                                                                                                                                                19000",19000,150,https://www.musinsa.com/app/goods/3141560?loc=goods_rank
디지털테크,6,airpods,GEEKY,[에어팟케이스/투명] Touchable Concrete No.01,19900,16900,1705,https://www.musinsa.com/app/goods/1508003?loc=goods_rank
디지털테크,7,EAPP2SC-OR,ELAGO,에어팟프로2 오리지널 베이직 케이스,"
                                                                                                                                                12900",12900,116,https://www.musinsa.com/app/goods/3096466?loc=goods_rank
디지털테크,8,5003404350,EARPEARP,갤럭시 Z플립5 HUG COVY AND CHICHI-WHITE(Z플립-하드),19000,11900,12,https://www.musinsa.com/app/goods/3284655?loc=goods_rank
디지털테크,9,5002982222,DEVERS,글라스 강화 액정 보호필름 아이폰 14/13/12/11/XS/XR 갤럭시 S22/S21/노트20 휴대폰필름,12900,5900,172,https://www.musinsa.com/app/goods/3169472?loc=goods_rank
디지털테크,10,NL1AC03BKF,FENNEC,CNS AIRPODS CASE - BLACK,23000,9900,90,https://www.musinsa.com/app/goods/2493806?loc=goods_rank
디지털테크,11,5001934836,APPLE,에어팟 프로 2세대 맥세이프 호환 (MQD83KH/A),"
                                                                                                                                                375000",375000,1462,https://www.musinsa.com/app/goods/2926386?loc=goods_rank
디지털테크,12,HKAURAS4BLKAS,HARMAN KARDON,오라스튜디오4 블루투스 스피커,"
                                                                                                                                                319000",319000,13,https://www.musinsa.com/app/goods/3416793?loc=goods_rank
디지털테크,13,PNTS-RFM-E-SN,SNOOPY,피너츠 스누피 피규어 무선 마우스,"
                                                                                                                                                29900",29900,87,https://www.musinsa.com/app/goods/3403208?loc=goods_rank
디지털테크,14,2051462,BEBE CASE,[1+1] 방탄 클리어 캡슐 투명젤리 케이스,11400,6900,10362,https://www.musinsa.com/app/goods/1894565?loc=goods_rank
