카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
바지,1,21FLGP20GR,GLW,이지 와이드 데님 팬츠 그레이,52800,42000,121503,https://www.musinsa.com/app/goods/2092852?loc=goods_rank
바지,2,GU01BGR,GAKKAI UNIONS,원턱 와이드 스웨트팬츠 그레이,52000,36400,184223,https://www.musinsa.com/app/goods/2112059?loc=goods_rank
바지,3,2020F11,XERO,Deep One Tuck Sweat Pants [Grey],"
                                                                                                                                                39000",39000,199760,https://www.musinsa.com/app/goods/1551840?loc=goods_rank
바지,4,1804050,WHOLOVESART,유니섹스 세미 와이드 밴딩 슬랙스,54000,35900,235477,https://www.musinsa.com/app/goods/750908?loc=goods_rank
바지,5,AC3498,ANOLORCODE,리자드 데님팬츠 (흑청),49000,36750,2248,https://www.musinsa.com/app/goods/3421113?loc=goods_rank
바지,6,TRSDPT02BBL,TRILLION,바이오스톤 워싱 와이드 데님 팬츠 (BEIGE BLUE),54000,28900,44404,https://www.musinsa.com/app/goods/2706287?loc=goods_rank
바지,7,MIPS0004-BK,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙],"
                                                                                                                                                41900",41900,93647,https://www.musinsa.com/app/goods/1168906?loc=goods_rank
바지,8,5005341467,LIKE THE MOST,트레이닝 핀턱 와이드 팬츠 2colors,66400,26560,13964,https://www.musinsa.com/app/goods/3443300?loc=goods_rank
바지,9,MIPS0003-BK,MUSINSA STANDARD,세미 와이드 히든 밴딩 슬랙스 [블랙],"
                                                                                                                                                39900",39900,90111,https://www.musinsa.com/app/goods/1149329?loc=goods_rank
바지,10,GU01BBK,GAKKAI UNIONS,원턱 와이드 스웨트팬츠 블랙,52000,36400,58001,https://www.musinsa.com/app/goods/2112061?loc=goods_rank
바지,11,PT024BK,NOT4NERD,Wide String Cargo Slacks Pants Black,89000,39000,108848,https://www.musinsa.com/app/goods/1370101?loc=goods_rank
바지,12,CBCFUWP050CBCFUWP051,CODEGRAPHY,[패키지][FW버전] 나일론 스트링 팬츠 & 카고 팬츠,97900,64900,7895,https://www.musinsa.com/app/goods/3503598?loc=goods_rank
바지,13,MMCPC802-BK,MUSINSA STANDARD,시티 레저 와이드 벨티드 카고 팬츠 [블랙],66900,60190,3400,https://www.musinsa.com/app/goods/3404707?loc=goods_rank
바지,14,SH7865,ANOLORCODE,리자드  데님팬츠 (중청),49000,36750,1364,https://www.musinsa.com/app/goods/3421096?loc=goods_rank
바지,15,2020F10,XERO,Deep One Tuck Sweat Pants [Black],"
                                                                                                                                                39000",39000,43223,https://www.musinsa.com/app/goods/1551839?loc=goods_rank
바지,16,LOT1967,BRANDED,1967 JET BLACK JEANS [WIDE STRAIGHT],78000,66300,88064,https://www.musinsa.com/app/goods/1552753?loc=goods_rank
바지,17,TRSDPT02BG,TRILLION,바이오스톤 워싱 와이드 데님 팬츠 (BLUE GRAY),54000,32400,48393,https://www.musinsa.com/app/goods/2351467?loc=goods_rank
바지,18,WIDEPANTS-PAC,S'EST,[패키지] 와이드핏 트레이닝 스웨트 팬츠 - 3Color,90000,39900,10763,https://www.musinsa.com/app/goods/1735427?loc=goods_rank
바지,19,SSL-001,SIGNATURE,더블턱 와이드 슬랙스[블랙],59000,39900,51870,https://www.musinsa.com/app/goods/2578996?loc=goods_rank
바지,20,MMJPC604-KH,MUSINSA STANDARD,레플리카 퍼티그 팬츠 [카키],"
                                                                                                                                                43900",43900,20590,https://www.musinsa.com/app/goods/1627892?loc=goods_rank
바지,21,PBSMDPA031,PIECE WORKER,Bluish Medium Blue,92000,69500,17329,https://www.musinsa.com/app/goods/1323090?loc=goods_rank
바지,22,MMANP005-LI,MUSINSA STANDARD,스트레이트 데님 팬츠 [라이트 인디고],"
                                                                                                                                                49900",49900,38975,https://www.musinsa.com/app/goods/2028327?loc=goods_rank
바지,23,23SSGP28WB,GLW,이지 와이드 데님 팬츠 빈티지 워시드 블루,52800,42000,3243,https://www.musinsa.com/app/goods/3440017?loc=goods_rank
바지,24,FTTP001,ANOLORCODE,사계절 쓰리턱 트레이닝팬츠 (2color),62000,39680,40920,https://www.musinsa.com/app/goods/2744549?loc=goods_rank
바지,25,21FLGP19BK,GLW,이지 와이드 데님 팬츠 블랙,52800,42000,72580,https://www.musinsa.com/app/goods/2092849?loc=goods_rank
바지,26,2021HS04,XERO,Deep One Tuck Sweat Shorts [Grey],"
                                                                                                                                                32000",32000,90925,https://www.musinsa.com/app/goods/1926048?loc=goods_rank
바지,27,G77700006BK,GAKKAI UNIONS,원턱 와이드 스웨트 카고팬츠 블랙,51000,39900,7955,https://www.musinsa.com/app/goods/3095387?loc=goods_rank
바지,28,U22-BD02-ID,URBANSTOFF,듀러블 롱 벌룬 팬츠 (인디고),74000,66600,24727,https://www.musinsa.com/app/goods/2749153?loc=goods_rank
바지,29,G77700006KK,GAKKAI UNIONS,원턱 와이드 스웨트 카고팬츠 카키,51000,39900,15051,https://www.musinsa.com/app/goods/3095384?loc=goods_rank
바지,30,DBC8DP03GR,DIMITRI BLACK,원턱 파라슈트 카고 데님팬츠_그레이,47000,32500,5685,https://www.musinsa.com/app/goods/3469210?loc=goods_rank
바지,31,DFPT1304BE,DRAW FIT,와이드 밴딩 치노 팬츠 [BEIGE],66000,59400,18575,https://www.musinsa.com/app/goods/2119984?loc=goods_rank
바지,32,MMCNP901-CR,MUSINSA STANDARD,팀코리아 데님 팬츠 [크림],"
                                                                                                                                                79900",79900,364,https://www.musinsa.com/app/goods/3504258?loc=goods_rank
바지,33,PT048BL,NOT4NERD,Banding One Tuck Wide Denim Pants - Deep Blue,89000,39800,50548,https://www.musinsa.com/app/goods/2184087?loc=goods_rank
바지,34,MMCPC802-KH,MUSINSA STANDARD,시티 레저 와이드 벨티드 카고 팬츠 [카키],66900,60190,2146,https://www.musinsa.com/app/goods/3404709?loc=goods_rank
바지,35,OBFFUPT01,BIG UNION,WIDE TAIL POCKET PANTS,98000,58800,896,https://www.musinsa.com/app/goods/3478673?loc=goods_rank
바지,36,5003718616,WV PROJECT,[패키지] 컬러다잉 밴딩팬츠 2PACK JNLP7686,111900,68900,429,https://www.musinsa.com/app/goods/3558966?loc=goods_rank
바지,37,MMANP005-WC,MUSINSA STANDARD,스트레이트 데님 팬츠 [워시드 블랙],"
                                                                                                                                                49900",49900,23816,https://www.musinsa.com/app/goods/2028329?loc=goods_rank
바지,38,COONTUSEDEPAIN,BESLOW,COMFY ONE TUCK SELVAGE DENIM PANTS INDIGO,99000,59400,27210,https://www.musinsa.com/app/goods/1759490?loc=goods_rank
바지,39,M4205TDDFW23,OUR LEGACY,남성 써드컷 디지털 프린트 데님 팬츠 - 라이트 블루,650000,363000,8,https://www.musinsa.com/app/goods/3495498?loc=goods_rank
바지,40,PT048BK,NOT4NERD,Banding One Tuck Wide Denim Pants - Black,89000,39800,23653,https://www.musinsa.com/app/goods/2184088?loc=goods_rank
바지,41,JT04,AGAINST ALL ODDS,원턱 와이드 스웨트 팬츠 [그레이],49800,22800,15161,https://www.musinsa.com/app/goods/3223947?loc=goods_rank
바지,42,NOI994,NOIAGO,NOI994 벌룬 데님 팬츠 (블루),77000,54000,864,https://www.musinsa.com/app/goods/3451307?loc=goods_rank
바지,43,MMANP005-CR,MUSINSA STANDARD,스트레이트 데님 팬츠 [크림],"
                                                                                                                                                49900",49900,27001,https://www.musinsa.com/app/goods/2028326?loc=goods_rank
바지,44,21FLGP07BK,GLW,와이드 빅포켓 밴딩 카고 팬츠 블랙,69000,55200,37394,https://www.musinsa.com/app/goods/2060720?loc=goods_rank
바지,45,CA23APT010KH,ASIF CALIE,PARACHUTE CARGO PANTS KHAKI,122000,97600,2931,https://www.musinsa.com/app/goods/3443537?loc=goods_rank
바지,46,JT07,AGAINST ALL ODDS,버뮤다 와이드 원턱 스웨트 쇼츠 [그레이],38000,16800,30629,https://www.musinsa.com/app/goods/3231055?loc=goods_rank
바지,47,XP127,XTONZ,XP127 셔링 카고 팬츠 (BLACK),99000,79200,16820,https://www.musinsa.com/app/goods/2789091?loc=goods_rank
바지,48,22FWGP04BK,GLW,투턱 와이드 슬랙스 블랙,49800,39800,21139,https://www.musinsa.com/app/goods/2708877?loc=goods_rank
바지,49,FSST003,ANOLORCODE,사계절 스트링 트레이닝팬츠 (그레이),62000,39680,94027,https://www.musinsa.com/app/goods/1568057?loc=goods_rank
바지,50,TRSDPT02CR,TRILLION,바이오스톤 워싱 와이드 데님 팬츠 (CREAM),54000,32400,20000,https://www.musinsa.com/app/goods/2711142?loc=goods_rank
바지,51,MM21-MU011,MARDI MERCREDI,SWEAT SHORTS MARCHE EMBLEM NEEDLEWORK_NAVY VIOLET,59000,56050,3088,https://www.musinsa.com/app/goods/1782611?loc=goods_rank
바지,52,TRTHSSDP07UC6,TRAVEL,카펜터 데님 팬츠 블랙,99000,67900,6188,https://www.musinsa.com/app/goods/3048710?loc=goods_rank
바지,53,22FLGP05BK,GLW,와이드 워시드 카고 데님 팬츠 블랙,75000,59800,30926,https://www.musinsa.com/app/goods/2737165?loc=goods_rank
바지,54,23FW-GARDNER PANTS,ETCE,GARDNER PANTS (BLACK),215000,193500,198,https://www.musinsa.com/app/goods/3478865?loc=goods_rank
바지,55,MIPS0004-MR,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [미디엄 그레이],"
                                                                                                                                                41900",41900,80187,https://www.musinsa.com/app/goods/1222184?loc=goods_rank
바지,56,TAS-WDDPLB,TOFFEE,와이드 데님 팬츠 (LIGHT BLUE),49000,36500,135103,https://www.musinsa.com/app/goods/858911?loc=goods_rank
바지,57,LOT1968,BRANDED,1968 HIMALAYA JEANS [WIDE STRAIGHT],78000,66300,34984,https://www.musinsa.com/app/goods/1555407?loc=goods_rank
바지,58,SA-M5,SIGNATURE,원턱 와이드 슬랙스[딥브라운],59000,43000,19982,https://www.musinsa.com/app/goods/2124438?loc=goods_rank
바지,59,MIPS0005-BK,MUSINSA STANDARD,리얼 와이드 히든 밴딩 슬랙스 [블랙],43900,39490,28922,https://www.musinsa.com/app/goods/1168922?loc=goods_rank
바지,60,D6DT01,AGAINST ALL ODDS,이지 와이드 데님 팬츠 [미디엄 블루],69800,28900,3600,https://www.musinsa.com/app/goods/3467143?loc=goods_rank
바지,61,LOT1899,BRANDED,1899 SAHARA JEANS [WIDE STRAIGHT],78000,66300,4402,https://www.musinsa.com/app/goods/2046043?loc=goods_rank
바지,62,T1S-MWDPTBL,TOFFEE,모어 와이드 데님 팬츠 (BLEACH),49000,29400,25399,https://www.musinsa.com/app/goods/1778523?loc=goods_rank
바지,63,DK010609CH1,DICKIES,레귤러핏 874 팬츠 - 데저트 샌드,59000,56500,2937,https://www.musinsa.com/app/goods/3105771?loc=goods_rank
바지,64,230523,WHOLOVESART,유니섹스 세미 와이드 밴딩 슬랙스 2PACK,108000,68900,2410,https://www.musinsa.com/app/goods/3267784?loc=goods_rank
바지,65,MMANP005-MI,MUSINSA STANDARD,스트레이트 데님 팬츠 [미디엄 인디고],"
                                                                                                                                                49900",49900,8614,https://www.musinsa.com/app/goods/2028328?loc=goods_rank
바지,66,5002561999,EZKATON,스크레치 데님팬츠 KMLP6686,64000,48900,9353,https://www.musinsa.com/app/goods/3171863?loc=goods_rank
바지,67,H41387,ADIDAS,락업 트랙팬츠 - 블랙,95000,66500,15727,https://www.musinsa.com/app/goods/2027068?loc=goods_rank
바지,68,P00000PR,MNGU,레이싱 팬츠 [크림],"
                                                                                                                                                165000",165000,1789,https://www.musinsa.com/app/goods/3317658?loc=goods_rank
바지,69,VBCSPL07BK,DIMITRI BLACK,(VLAD) 워터프루프 와이드 카고 팬츠_블랙,56900,44500,18573,https://www.musinsa.com/app/goods/3037465?loc=goods_rank
바지,70,BR481,BRENSON,[패키지] 와이드핏 트레이닝 스웨트 팬츠,59800,43900,88522,https://www.musinsa.com/app/goods/1736085?loc=goods_rank
바지,71,1683844,JEMUT,유스 와이드 카고팬츠 4종 블랙 YHLP2159,63000,39800,33233,https://www.musinsa.com/app/goods/890521?loc=goods_rank
바지,72,22SS05,AVANDRESS,BUCKLE WIDE DENIM PANTS CREAM,69000,22080,13750,https://www.musinsa.com/app/goods/2479902?loc=goods_rank
바지,73,D6WP01,AGAINST ALL ODDS,와이드 빅포켓 코튼 카고 밴딩 스트링 팬츠 [카키],69800,29800,2139,https://www.musinsa.com/app/goods/3467384?loc=goods_rank
바지,74,LAVB06,VIVASTUDIO,WIDE DENIM PANTS [BLUE],109000,87200,6911,https://www.musinsa.com/app/goods/2713054?loc=goods_rank
바지,75,MM21-MU010,MARDI MERCREDI,SWEAT SHORTS MARCHE EMBLEM NEEDLEWORK_OATMEAL GREEN,59000,56050,5885,https://www.musinsa.com/app/goods/1782610?loc=goods_rank
바지,76,TRSDPT02BK,TRILLION,바이오스톤 워싱 와이드 데님 팬츠 (BLACK),54000,39800,7591,https://www.musinsa.com/app/goods/2494147?loc=goods_rank
바지,77,G2202PT03BK/G2202PT03BG/G2202PT03GN,GAMMA GALLERY,[7COLOR] 파라슈트 팬츠,98000,46800,25232,https://www.musinsa.com/app/goods/2723714?loc=goods_rank
바지,78,T23PTW07,TAKEASY,우먼스 스몰라쿠 와이드팬츠(블랙),42000,29400,6274,https://www.musinsa.com/app/goods/3075469?loc=goods_rank
바지,79,MMDP105DG,MINIMALPROJECT,워시드 퍼티그 벌룬 데님 팬츠 MDP105 [DARKGRAY],138000,69800,13657,https://www.musinsa.com/app/goods/1462818?loc=goods_rank
바지,80,MMDP105DBL,MINIMALPROJECT,워시드 퍼티그 벌룬 데님 팬츠 MDP105 [MIDDLE BLUE],138000,69800,3736,https://www.musinsa.com/app/goods/1915009?loc=goods_rank
바지,81,MMBPS113-BK,MUSINSA STANDARD,[쿨탠다드] 릴렉스드 테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],39900,25890,11768,https://www.musinsa.com/app/goods/2477836?loc=goods_rank
바지,82,MMANP005-BK,MUSINSA STANDARD,스트레이트 데님 팬츠 [블랙],"
                                                                                                                                                49900",49900,9219,https://www.musinsa.com/app/goods/2391746?loc=goods_rank
바지,83,22FWGP19BK,GLW,이지 와이드 데님 팬츠 딥블랙,52800,42000,17609,https://www.musinsa.com/app/goods/2709015?loc=goods_rank
바지,84,LOT1898,BRANDED,1898 BLANK JEANS [WIDE STRAIGHT],78000,66300,11906,https://www.musinsa.com/app/goods/1868151?loc=goods_rank
바지,85,TAS-WDDPDG,TOFFEE,와이드 데님 팬츠 (DEEP GREY),49000,36500,101272,https://www.musinsa.com/app/goods/890338?loc=goods_rank
바지,86,TAS-WDDPRB,TOFFEE,와이드 데님 팬츠 (R.BLACK),49000,36500,19015,https://www.musinsa.com/app/goods/2131950?loc=goods_rank
바지,87,T1S-MWDPTWI,TOFFEE,모어 와이드 데님 팬츠 (OIL WASHED INDIGO),49000,36500,5209,https://www.musinsa.com/app/goods/3126387?loc=goods_rank
바지,88,FN21FWPT05,FOTTNERS,Two Tuck Wide Black Jeans,159000,95400,18679,https://www.musinsa.com/app/goods/2150457?loc=goods_rank
바지,89,SA-M7,SIGNATURE,원턱 와이드 슬랙스[블랙],59000,43000,23085,https://www.musinsa.com/app/goods/2124440?loc=goods_rank
바지,90,MWBPK102-BK,MUSINSA STANDARD,우먼즈 릴렉스드 라운지 스웨트 팬츠 [블랙],33900,30490,27028,https://www.musinsa.com/app/goods/2392464?loc=goods_rank
바지,91,m1037_685363,LAFUDGESTORE,[Package][23SS Ver.] 클래식 테이퍼드 와이드 원턱 린넨 팬츠_9Color,72000,43900,79036,https://www.musinsa.com/app/goods/2495075?loc=goods_rank
바지,92,93223TWL1001,1993STUDIO,빈티지 파이핑 팬츠_블랙,79000,71100,12418,https://www.musinsa.com/app/goods/2660556?loc=goods_rank
바지,93,1054719,SUARE,린넨 라이크 세미 와이드 밴딩 팬츠 세트,66000,49900,110855,https://www.musinsa.com/app/goods/1924274?loc=goods_rank
바지,94,DK010609DBX,DICKIES,레귤러핏 874 팬츠 - 다크 브라운,59000,52900,4550,https://www.musinsa.com/app/goods/2877988?loc=goods_rank
바지,95,Turn me On - MOD7w,MODNINE,Turn me On - MOD7w,148000,111000,33916,https://www.musinsa.com/app/goods/1573215?loc=goods_rank
바지,96,MIPS0004-UI,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [더스티 베이지],41900,37690,15526,https://www.musinsa.com/app/goods/1249102?loc=goods_rank
바지,97,DK010609BLK,DICKIES,레귤러핏 874 팬츠 - 블랙,59000,52900,7221,https://www.musinsa.com/app/goods/2877984?loc=goods_rank
바지,98,5002753232,JEMUT,[패키지] 플레시 썸머 원턱 하프팬츠 8종 2PACK SOSP2483,69900,39900,18586,https://www.musinsa.com/app/goods/3244829?loc=goods_rank
바지,99,MWBPS210-BK,MUSINSA STANDARD,우먼즈 하이 웨이스트 와이드 히든 밴딩 슬랙스 [블랙],43900,37290,10542,https://www.musinsa.com/app/goods/2551390?loc=goods_rank
바지,100,DFPT0005BK,DRAW FIT,[드로우핏X깡스타일리스트] 원턱 밴딩 테이퍼드 슬랙스 [BLACK],63000,49800,1991,https://www.musinsa.com/app/goods/3154688?loc=goods_rank
