카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
스니커즈,1,IF0641,ADIDAS,삼바 Decon IF0641,"
                                                                                                                                                179000",179000,2613,https://www.musinsa.com/app/goods/3543294?loc=goods_rank
스니커즈,2,IF0642,ADIDAS,삼바 Decon IF0642,"
                                                                                                                                                179000",179000,3243,https://www.musinsa.com/app/goods/3543293?loc=goods_rank
스니커즈,3,ID2047,ADIDAS,삼바 OG - 크림:살몬,"
                                                                                                                                                139000",139000,15644,https://www.musinsa.com/app/goods/3366203?loc=goods_rank
스니커즈,4,162058C,CONVERSE,척 70 클래식  블랙 162058C,95000,85500,107657,https://www.musinsa.com/app/goods/810034?loc=goods_rank
스니커즈,5,GW8206,ADIDAS,토바코 Gruen GW8206,"
                                                                                                                                                139000",139000,4395,https://www.musinsa.com/app/goods/3532933?loc=goods_rank
스니커즈,6,A02755C,CONVERSE,척70 시즈널 컬러 스쿼럴 프렌드 A02755C,99000,44550,3491,https://www.musinsa.com/app/goods/2987458?loc=goods_rank
스니커즈,7,ID2056,ADIDAS,삼바 OG - 네이비:화이트,"
                                                                                                                                                139000",139000,10163,https://www.musinsa.com/app/goods/3526686?loc=goods_rank
스니커즈,8,162050C,CONVERSE,척 70 클래식 블랙 162050C,99000,89100,102153,https://www.musinsa.com/app/goods/810033?loc=goods_rank
스니커즈,9,M9166C,CONVERSE,척테일러 올스타 블랙 옥스 M9166C,59000,53100,118902,https://www.musinsa.com/app/goods/311052?loc=goods_rank
스니커즈,10,NBP7DF711O_80,NEW BALANCE,NBP7DF711O,"
                                                                                                                                                139000",139000,1145,https://www.musinsa.com/app/goods/2734300?loc=goods_rank
스니커즈,11,VN000ZDF1WX1,VANS,올드스쿨(캔버스) - 블랙:트루 화이트,85000,69900,68192,https://www.musinsa.com/app/goods/186610?loc=goods_rank
스니커즈,12,EE6999,ADIDAS,오즈위고 - 트리플블랙,149000,104300,34430,https://www.musinsa.com/app/goods/1473136?loc=goods_rank
스니커즈,13,570256C,CONVERSE,척테일러 올스타 무브 블랙 570256C,85000,76500,22392,https://www.musinsa.com/app/goods/1729744?loc=goods_rank
스니커즈,14,IG4999,ADIDAS,가젤 인도어 - 블랙:옐로우,"
                                                                                                                                                169000",169000,670,https://www.musinsa.com/app/goods/3535974?loc=goods_rank
스니커즈,15,745647,SHOOPEN,[키높이 4.5cm 추가] 유니 레더 독일군 HPMR6DA03M,"
                                                                                                                                                59900",59900,11063,https://www.musinsa.com/app/goods/2440110?loc=goods_rank
스니커즈,16,L41741300,SALOMON SPORTSTYLE,XT-6 익스펜스 - 블랙:에보니:마그넷,"
                                                                                                                                                230000",230000,5138,https://www.musinsa.com/app/goods/2737457?loc=goods_rank
스니커즈,17,A00916C,CONVERSE,척 70 플러스  블랙 A00916C,109000,87200,8949,https://www.musinsa.com/app/goods/2631192?loc=goods_rank
스니커즈,18,NBP7DF721G _15,NEW BALANCE,NBP7DF721G,"
                                                                                                                                                139000",139000,14581,https://www.musinsa.com/app/goods/1990244?loc=goods_rank
스니커즈,19,VN0A3WM7VNE1,VANS,컴피쿠시 어센틱 - (클래식) 블랙:트루 화이트,75000,59900,7623,https://www.musinsa.com/app/goods/1608813?loc=goods_rank
스니커즈,20,560250C,CONVERSE,척테일러 올스타 캔버스 리프트 블랙 560250C,79000,71100,18044,https://www.musinsa.com/app/goods/1494177?loc=goods_rank
스니커즈,21,560251C,CONVERSE,척테일러 올스타 캔버스 리프트 화이트 560251C,79000,71100,46240,https://www.musinsa.com/app/goods/1494180?loc=goods_rank
스니커즈,22,EG4959,ADIDAS,슈퍼스타 - 블랙:화이트,"
                                                                                                                                                139000",139000,60428,https://www.musinsa.com/app/goods/1622069?loc=goods_rank
스니커즈,23,DXSH2111N-BES,DISCOVERY EXPEDITION,조거 플렉스 (LIGHT BEIGE),"
                                                                                                                                                109000",109000,34139,https://www.musinsa.com/app/goods/1130307?loc=goods_rank
스니커즈,24,5001727503,UNDYEDROOM,CAMPO701 (CREAM),"
                                                                                                                                                159000",159000,241,https://www.musinsa.com/app/goods/3040430?loc=goods_rank
스니커즈,25,LW235SH307,LIFEWORK,스페이스런 러너,"
                                                                                                                                                149000",149000,28,https://www.musinsa.com/app/goods/3466493?loc=goods_rank
스니커즈,26,HT4718-WH,HEELTOP,HT4718-WH 8cm 키높이 어글리 슈즈 지크 화이트 [240~280MM],79000,71100,1600,https://www.musinsa.com/app/goods/1428051?loc=goods_rank
스니커즈,27,3ASXCLB3N-50BKS,MLB,청키라이너 NY (Black),"
                                                                                                                                                139000",139000,3131,https://www.musinsa.com/app/goods/2974603?loc=goods_rank
스니커즈,28,VN0A3DZ3OXS1,VANS,스타일 36 - 마쉬멜로우:레이싱 레드,85000,67900,44215,https://www.musinsa.com/app/goods/1608838?loc=goods_rank
스니커즈,29,387532-02,PUMA,베이더론 KR - 블랙:블랙:그레이,149000,66900,4664,https://www.musinsa.com/app/goods/2469964?loc=goods_rank
스니커즈,30,BRS003,BRANS,루이스 레더 그레이,156000,124800,871,https://www.musinsa.com/app/goods/1481358?loc=goods_rank
스니커즈,31,H03474,ADIDAS,캠퍼스 00s - 레드,"
                                                                                                                                                119000",119000,4205,https://www.musinsa.com/app/goods/3091289?loc=goods_rank
스니커즈,32,DXSH3111N-BES,DISCOVERY EXPEDITION,브릭 BRICK (BEIGE),"
                                                                                                                                                109000",109000,16782,https://www.musinsa.com/app/goods/1145169?loc=goods_rank
스니커즈,33,RXSOXXCVUWT,REEBOK,클럽 C 85 빈티지 - 레트로 화이트,"
                                                                                                                                                109000",109000,14975,https://www.musinsa.com/app/goods/3033248?loc=goods_rank
