카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
양말레그웨어,1,MMASC101-WH,MUSINSA STANDARD,라이트웨이트 크루 삭스 7팩 [화이트],"
                                                                                                                                                19900",19900,85361,https://www.musinsa.com/app/goods/991339?loc=goods_rank
양말레그웨어,2,T17Z010,IL-O-GONG-CHIL,[10PACK] 1507 모노 트라우져 하프 삭스 _ 스노우화이트/화이트/블랙,24000,14900,93003,https://www.musinsa.com/app/goods/998051?loc=goods_rank
양말레그웨어,3,MMASC203-WH/BK,MUSINSA STANDARD,라이트웨이트 크루 삭스 10팩 [화이트/블랙],27900,23690,21219,https://www.musinsa.com/app/goods/1986031?loc=goods_rank
양말레그웨어,4,mono trouser 6p,IL-O-GONG-CHIL,[6PACK] 1507 모노 트라우져 삭스_ 스노우화이트/화이트/블랙 - 흘러내리지 않는 양말,19800,14900,38950,https://www.musinsa.com/app/goods/734085?loc=goods_rank
양말레그웨어,5,T17Z005,IL-O-GONG-CHIL,[10PACK] 1507 엠보 트라우져 하프 삭스 _ 스노우 화이트/블랙,24000,12500,12914,https://www.musinsa.com/app/goods/1443937?loc=goods_rank
양말레그웨어,6,5000618466,SOCKPIENS,[8팩] 무압박 밴드 여자 무지 중목 양말,18900,14900,3671,https://www.musinsa.com/app/goods/2845854?loc=goods_rank
양말레그웨어,7,basic h_lip,IL-O-GONG-CHIL,[5PACK] 1507 베이직 트라우져 립삭스 _ 스노우 화이트/블랙,16500,10900,4150,https://www.musinsa.com/app/goods/1348077?loc=goods_rank
양말레그웨어,8,T17Z010,IL-O-GONG-CHIL,[10PACK] 1507 모노 트라우져 스니커즈 삭스 _  스노우 화이트/블랙,20000,13900,11617,https://www.musinsa.com/app/goods/991570?loc=goods_rank
양말레그웨어,9,T17Z010,IL-O-GONG-CHIL,[10PACK] 1507 스쿨팩 삭스 - 스노우화이트/화이트/블랙,33000,11500,7156,https://www.musinsa.com/app/goods/2832613?loc=goods_rank
양말레그웨어,10,S21490,ADIDAS,솔리드 크루 삭스 3P - 블랙:화이트,22000,15400,4521,https://www.musinsa.com/app/goods/1547562?loc=goods_rank
양말레그웨어,11,MMASC203-WH,MUSINSA STANDARD,라이트웨이트 크루 삭스 10팩 [화이트],"
                                                                                                                                                27900",27900,9182,https://www.musinsa.com/app/goods/1986029?loc=goods_rank
양말레그웨어,12,MMASC102-WH,MUSINSA STANDARD,라이트웨이트 미들 삭스 7팩 [화이트],"
                                                                                                                                                19900",19900,31624,https://www.musinsa.com/app/goods/1094748?loc=goods_rank
양말레그웨어,13,SWADSC11242,PIGC,여성 로고 포인트 스포츠 장목 양말 스카이블루 (SWADSC11242),"
                                                                                                                                                19000",19000,11,https://www.musinsa.com/app/goods/3098037?loc=goods_rank
양말레그웨어,14,MM2034ACCSO003,MARDI MERCREDI,SOCKS FLOS EMOJI_BLACK,16000,15200,3886,https://www.musinsa.com/app/goods/1556773?loc=goods_rank
양말레그웨어,15,MM2034ACCSO001,MARDI MERCREDI,SOCKS FLOS EMOJI_DARKBEIGE,16000,15200,1962,https://www.musinsa.com/app/goods/1556775?loc=goods_rank
양말레그웨어,16,MMASC001-WH,MUSINSA STANDARD,크루 삭스 7팩 [화이트],22900,15990,16491,https://www.musinsa.com/app/goods/746158?loc=goods_rank
