카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
리빙,1,APOGSPLBL01GN,APIECEOFCAKE,Signature Bear Cushion&Blanket_Green,45000,45000,4715,https://www.musinsa.com/app/goods/1798257?loc=goods_rank
리빙,2,MMAUM004-BK,MUSINSA STANDARD,UV 차단 자동 장우산 [블랙],"
                                                                                                                                                19900",19900,5815,https://www.musinsa.com/app/goods/793813?loc=goods_rank
리빙,3,MMAUM003-BK,MUSINSA STANDARD,24K 장우산 [블랙],"
                                                                                                                                                25900",25900,2071,https://www.musinsa.com/app/goods/2030199?loc=goods_rank
리빙,4,RF4ACBD1UM002_CLASSIC CHECK,ROCKFISH WEATHERWEAR,CLASSIC UMBRELLA SHORT (CLASSIC CHECK) - 3color,44000,39600,1536,https://www.musinsa.com/app/goods/3118128?loc=goods_rank
리빙,5,ZLUV2353,ZIKLAG,UV 차단 암막 3단 자동 양우산 2color,41900,41900,2301,https://www.musinsa.com/app/goods/3308959?loc=goods_rank
리빙,6,ENN116WHT,LOCKNLOCK,진공사료통 7L,59000,49900,91,https://www.musinsa.com/app/goods/2668082?loc=goods_rank
리빙,7,3109,PARACHASE,3109 빅 사이즈 K4 자동 3단 우산,"
                                                                                                                                                23000",23000,2419,https://www.musinsa.com/app/goods/1390980?loc=goods_rank
리빙,8,BWGRUMBRE1PDBZZZ,BROOKLYN WORKS,아웃도어 우산,60000,42000,94,https://www.musinsa.com/app/goods/3383527?loc=goods_rank
리빙,9,mosh!_450ml_화이트,MOSH,보온보냉 라떼 텀블러 450ml 화이트,"
                                                                                                                                                38800",38800,1371,https://www.musinsa.com/app/goods/907608?loc=goods_rank
리빙,10,NG2DSUAB62AMX,NICEGHOSTCLUB,쓰리 스타 러그 매트_믹스(NG2DSUAB62A),39000,31200,4830,https://www.musinsa.com/app/goods/3031152?loc=goods_rank
리빙,11,PFOKR04012_3,FORMENT,올라운드 퍼퓸 디퓨저 120ml,44000,30500,877,https://www.musinsa.com/app/goods/1851176?loc=goods_rank
리빙,12,5005470934,PASTELLA,파스텔우산 16K 자동 장우산 PS1,"
                                                                                                                                                14800",14800,109,https://www.musinsa.com/app/goods/3464556?loc=goods_rank
