카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
바지,1,TRSDPT02BBL,TRILLION,바이오스톤 워싱 와이드 데님 팬츠 (BEIGE BLUE),54000,39800,44610,https://www.musinsa.com/app/goods/2706287?loc=goods_rank
바지,2,GU01BGR,GAKKAI UNIONS,원턱 와이드 스웨트팬츠 그레이,52000,36400,184313,https://www.musinsa.com/app/goods/2112059?loc=goods_rank
바지,3,PT024BK,NOT4NERD,Wide String Cargo Slacks Pants Black,89000,39000,108875,https://www.musinsa.com/app/goods/1370101?loc=goods_rank
바지,4,MIPS0004-BK,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙],"
                                                                                                                                                41900",41900,93660,https://www.musinsa.com/app/goods/1168906?loc=goods_rank
바지,5,MIPS0003-BK,MUSINSA STANDARD,세미 와이드 히든 밴딩 슬랙스 [블랙],"
                                                                                                                                                39900",39900,90152,https://www.musinsa.com/app/goods/1149329?loc=goods_rank
바지,6,21FLGP20GR,GLW,이지 와이드 데님 팬츠 그레이,52800,42000,121574,https://www.musinsa.com/app/goods/2092852?loc=goods_rank
바지,7,5005341467,LIKE THE MOST,트레이닝 핀턱 와이드 팬츠 2colors,66400,26560,14355,https://www.musinsa.com/app/goods/3443300?loc=goods_rank
바지,8,23SS03 - 22,AVANDRESS,Optical Side Wide Pants BLACK,68000,30532,16135,https://www.musinsa.com/app/goods/3154969?loc=goods_rank
바지,9,GU01BBK,GAKKAI UNIONS,원턱 와이드 스웨트팬츠 블랙,52000,36400,58031,https://www.musinsa.com/app/goods/2112061?loc=goods_rank
바지,10,1804050,WHOLOVESART,유니섹스 세미 와이드 밴딩 슬랙스,54000,35900,235507,https://www.musinsa.com/app/goods/750908?loc=goods_rank
바지,11,WSTSCJBK,SEVENSELAH,세미와이드 카고조거 스토퍼 Black,89000,59700,25635,https://www.musinsa.com/app/goods/1595607?loc=goods_rank
바지,12,MMCPC801-BK,MUSINSA STANDARD,시티 레저 와이드 벨티드 파라슈트 팬츠 [블랙],63900,57490,3710,https://www.musinsa.com/app/goods/3404705?loc=goods_rank
바지,13,2020F11,XERO,Deep One Tuck Sweat Pants [Grey],"
                                                                                                                                                39000",39000,199766,https://www.musinsa.com/app/goods/1551840?loc=goods_rank
바지,14,TRSDPT02BG,TRILLION,바이오스톤 워싱 와이드 데님 팬츠 (BLUE GRAY),54000,32400,48493,https://www.musinsa.com/app/goods/2351467?loc=goods_rank
바지,15,MIPS0001-BK,MUSINSA STANDARD,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],"
                                                                                                                                                39900",39900,102393,https://www.musinsa.com/app/goods/1149328?loc=goods_rank
바지,16,MMCPC802-BK,MUSINSA STANDARD,시티 레저 와이드 벨티드 카고 팬츠 [블랙],66900,60190,3453,https://www.musinsa.com/app/goods/3404707?loc=goods_rank
바지,17,G77700006KK,GAKKAI UNIONS,원턱 와이드 스웨트 카고팬츠 카키,51000,39900,15089,https://www.musinsa.com/app/goods/3095384?loc=goods_rank
바지,18,PT042BK,NOT4NERD,Nylon Cargo Wide Pants - Black,89000,39000,23244,https://www.musinsa.com/app/goods/1985224?loc=goods_rank
바지,19,21FLGP07KH,GLW,와이드 빅포켓 밴딩 카고 팬츠 카키,69000,55200,60734,https://www.musinsa.com/app/goods/2060719?loc=goods_rank
