카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
스니커즈,1,L41252900,SALOMON SPORTSTYLE,XT-6 - 화이트:화이트:루나 락,"
                                                                                                                                                260000",260000,14977,https://www.musinsa.com/app/goods/1762407?loc=goods_rank
스니커즈,2,ID6858,ADIDAS,포럼 로우 클래식 - 화이트,129000,89900,4243,https://www.musinsa.com/app/goods/3081253?loc=goods_rank
스니커즈,3,HQ8750,ADIDAS,아디폼 슈퍼스타 - 화이트:블랙,89000,75900,4672,https://www.musinsa.com/app/goods/3008039?loc=goods_rank
스니커즈,4,IF0641,ADIDAS,삼바 Decon IF0641,"
                                                                                                                                                179000",179000,2791,https://www.musinsa.com/app/goods/3543294?loc=goods_rank
스니커즈,5,IF0642,ADIDAS,삼바 Decon IF0642,"
                                                                                                                                                179000",179000,3395,https://www.musinsa.com/app/goods/3543293?loc=goods_rank
스니커즈,6,389368-07,PUMA,코트 울트라 - 화이트:블랙,79000,24900,614,https://www.musinsa.com/app/goods/3172145?loc=goods_rank
스니커즈,7,VN0A38G2PXC1,VANS,올드스쿨 36 DX - (애너하임 팩토리) - 블랙:화이트,99000,78900,25129,https://www.musinsa.com/app/goods/695334?loc=goods_rank
스니커즈,8,HP5515,ADIDAS,BW 아미 - 화이트:그레이,139000,76900,27444,https://www.musinsa.com/app/goods/2638067?loc=goods_rank
스니커즈,9,IG4999,ADIDAS,가젤 인도어 - 블랙:옐로우,"
                                                                                                                                                169000",169000,720,https://www.musinsa.com/app/goods/3535974?loc=goods_rank
스니커즈,10,A02755C,CONVERSE,척70 시즈널 컬러 스쿼럴 프렌드 A02755C,99000,44550,4078,https://www.musinsa.com/app/goods/2987458?loc=goods_rank
스니커즈,11,BZ0579,ADIDAS,BW 아미 - 화이트,139000,82900,68328,https://www.musinsa.com/app/goods/577636?loc=goods_rank
스니커즈,12,L41741300,SALOMON SPORTSTYLE,XT-6 익스펜스 - 블랙:에보니:마그넷,"
                                                                                                                                                230000",230000,5150,https://www.musinsa.com/app/goods/2737457?loc=goods_rank
스니커즈,13,NBPDDF711B_19,NEW BALANCE,NBPDDF711B,"
                                                                                                                                                139000",139000,4863,https://www.musinsa.com/app/goods/3479543?loc=goods_rank
스니커즈,14,745647,SHOOPEN,[키높이 4.5cm 추가] 유니 레더 독일군 HPMR6DA03M,"
                                                                                                                                                59900",59900,11089,https://www.musinsa.com/app/goods/2440110?loc=goods_rank
