카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
여성 가방,1,056-2,MMOGARDEN,mmo backpack nylon metalrip,"
                                                                                                                                                87000",87000,986,https://www.musinsa.com/app/goods/3009113?loc=goods_rank
여성 가방,2,056-3,MMOGARDEN,mmo backpack nylon metalrip,"
                                                                                                                                                87000",87000,627,https://www.musinsa.com/app/goods/3009143?loc=goods_rank
여성 가방,3,P0000DYT,L.E.E.Y,RIVET SPRAY CYLINDER MINI BAG WHITE,178000,160200,49,https://www.musinsa.com/app/goods/3567593?loc=goods_rank
여성 가방,4,678401DV7071000FW22,SAINT LAURENT,여성 루루 토이 모노그램 숄더백 - 블랙,2430000,1687000,1032,https://www.musinsa.com/app/goods/2849886?loc=goods_rank
여성 가방,5,MTK21BBG016W0BB,MATIN KIM,SPORTY TOTE BAG IN BLACK,"
                                                                                                                                                145000",145000,30947,https://www.musinsa.com/app/goods/2235274?loc=goods_rank
여성 가방,6,21N-017A,STAND OIL,Oblong bag Mini · 오블롱백 미니,"
                                                                                                                                                96000",96000,51846,https://www.musinsa.com/app/goods/2344540?loc=goods_rank
여성 가방,7,PXAWVF61179CADFW23,A.P.C.,여성 베티 크로스백 - 브라운,819000,239000,199,https://www.musinsa.com/app/goods/3459616?loc=goods_rank
여성 가방,8,20N-006B,STAND OIL,Butter bag  Classic · 버터백 클래식,"
                                                                                                                                                89000",89000,37455,https://www.musinsa.com/app/goods/2343665?loc=goods_rank
여성 가방,9,CR22A512BK,SCULPTOR,Oldschool Slouchy Backpack Black,84000,58800,20832,https://www.musinsa.com/app/goods/3034743?loc=goods_rank
여성 가방,10,Salt Bag,DUMARO,솔트백,98000,98000,1476,https://www.musinsa.com/app/goods/3446244?loc=goods_rank
여성 가방,11,P0000DHO,MATIN KIM,BIG COATING TOTE BAG IN BLACK,"
                                                                                                                                                178000",178000,13967,https://www.musinsa.com/app/goods/2112607?loc=goods_rank
여성 가방,12,22N-057A,STAND OIL,Post bag · 포스트백,91000,86450,12711,https://www.musinsa.com/app/goods/2930265?loc=goods_rank
여성 가방,13,22G-039A,STAND OIL,Chubby bag · 츄비백,"
                                                                                                                                                119000",119000,25532,https://www.musinsa.com/app/goods/2558648?loc=goods_rank
여성 가방,14,P0000BCQ,FILLINTHEBLANK,Trapezoid PK Shoulder Bag (marble)(stone),"
                                                                                                                                                159000",159000,3731,https://www.musinsa.com/app/goods/3256674?loc=goods_rank
여성 가방,15,OVBLX23001BLK,ARCHIVEPKE,Mini bowling bag(Deep sleep)_OVBLX23001BLK,99000,89100,30837,https://www.musinsa.com/app/goods/1910358?loc=goods_rank
여성 가방,16,MK2213BG020M0BE,MATIN KIM,BABY SPORTY TOTE BAG IN BEIGE,"
                                                                                                                                                138000",138000,3936,https://www.musinsa.com/app/goods/2577897?loc=goods_rank
여성 가방,17,H73105010,CARLYN,위켄더 3colors_H73105010,"
                                                                                                                                                120000",120000,2302,https://www.musinsa.com/app/goods/3270689?loc=goods_rank
여성 가방,18,JHNCHD3BF241BK260,JESTINA,AVA LG 토트 BK (JHNCHD3BF241BK260),238000,214200,10,https://www.musinsa.com/app/goods/3533711?loc=goods_rank
여성 가방,19,MK2378BG061M0OL,MATIN KIM,VINTAGE LEATHER MINI BOSTON BAG IN OLIVE,238000,214200,21,https://www.musinsa.com/app/goods/3573028?loc=goods_rank
