카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
주얼리,1,Catholic R-1,MUSEE.ART,크로스 로자리 커플링(여성용),"
                                                                                                                                                88000",88000,5427,https://www.musinsa.com/app/goods/1634133?loc=goods_rank
주얼리,2,11302744,JBANS CLASSIC,프리즘213 심플컬러스트링595BK 팔찌세트 (C2101-SE154_BK),31000,18600,13860,https://www.musinsa.com/app/goods/1806399?loc=goods_rank
주얼리,3,SVR-#S605,SHOVEOFF,[실버 925] SVR-S605 트위스트 데일리 실버 우정 커플반지,"
                                                                                                                                                29800",29800,23949,https://www.musinsa.com/app/goods/966696?loc=goods_rank
주얼리,4,B.W.P-b-09,AG47,B.W.P Bracelet-09 Pearl 8mm Cubic Flower,"
                                                                                                                                                72000",72000,377,https://www.musinsa.com/app/goods/2512393?loc=goods_rank
주얼리,5,22HSSCLNTK,51PERCENT,Chain Logo Necklace (thick),"
                                                                                                                                                59000",59000,1324,https://www.musinsa.com/app/goods/2608133?loc=goods_rank
주얼리,6,CON-061,CUNASON,CON-061 담수 진주 목걸이,46000,43700,407,https://www.musinsa.com/app/goods/2376330?loc=goods_rank
주얼리,7,TBH02ABBC001,TOWTOW ARCHIVE,PEACEMARK SYMBOL BRACELET-TURQUOISE : ARCHIVE-001,"
                                                                                                                                                42000",42000,1551,https://www.musinsa.com/app/goods/2773647?loc=goods_rank
주얼리,8,02017,HAWHA,BASIC CHAIN NECKLACE,"
                                                                                                                                                39000",39000,350,https://www.musinsa.com/app/goods/1987318?loc=goods_rank
주얼리,9,ACNC07,BLENDOFF,BD 러브 목걸이 [써지컬스틸],"
                                                                                                                                                26000",26000,247,https://www.musinsa.com/app/goods/2981416?loc=goods_rank
주얼리,10,2pn1,ANOTHERYOUTH,2 팬던트 넥크리스,"
                                                                                                                                                21000",21000,5754,https://www.musinsa.com/app/goods/731151?loc=goods_rank
주얼리,11,E-00226,VINEDEW,터키 스톤 925 실버 피어싱 E-00226 (1SET),"
                                                                                                                                                19000",19000,311,https://www.musinsa.com/app/goods/2689004?loc=goods_rank
주얼리,12,170926B-3,RUSH OFF,써지컬스틸  언유즈얼 체인 팔찌,"
                                                                                                                                                18000",18000,374,https://www.musinsa.com/app/goods/643629?loc=goods_rank
주얼리,13,5002658507,JBANS CLASSIC,4mm슬림 해마오닉스 믹스 원석팔찌 (C2301AC1001_BK),"
                                                                                                                                                18000",18000,90,https://www.musinsa.com/app/goods/3319689?loc=goods_rank
주얼리,14,AC22FW01,ACHA,써지컬스틸 링 체인 목걸이 _ 실버,"
                                                                                                                                                17000",17000,7306,https://www.musinsa.com/app/goods/701986?loc=goods_rank
주얼리,15,BIZ-005,SEPTEMBER5,BLACK MULTI BIZ NECKLACE,"
                                                                                                                                                17000",17000,1176,https://www.musinsa.com/app/goods/3405473?loc=goods_rank
주얼리,16,4301806,LUV IS TRUE,PO HEART NECKLACE(SILVER),18000,16200,5344,https://www.musinsa.com/app/goods/1594014?loc=goods_rank
주얼리,17,JB3FW-JHR001PINK,GROVE,23FW EROM HAIRPIN_PINK,18000,16200,19,https://www.musinsa.com/app/goods/3534770?loc=goods_rank
