카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
가방,1,P0000DYT,L.E.E.Y,RIVET SPRAY CYLINDER MINI BAG WHITE,178000,160200,31,https://www.musinsa.com/app/goods/3567593?loc=goods_rank
가방,2,NM2DP51A,THE NORTH FACE,NM2DP51A 빅샷,150000,135000,61365,https://www.musinsa.com/app/goods/1034480?loc=goods_rank
가방,3,Cushiony Hobo Bag,DUMARO,쿠셔니 호보 백,94000,94000,396,https://www.musinsa.com/app/goods/2402762?loc=goods_rank
가방,4,A043CD2B,AGED GRAY,코듀라더블버클2웨이백팩,98000,98000,5254,https://www.musinsa.com/app/goods/1241170?loc=goods_rank
가방,5,S#ak11,HAHARCHIVE,아크 블랙 메신저백,"
                                                                                                                                                79000",79000,117862,https://www.musinsa.com/app/goods/1789507?loc=goods_rank
가방,6,P0000DYS,L.E.E.Y,RIVET SPRAY CYLINDER MINI BAG BLACK,178000,160200,34,https://www.musinsa.com/app/goods/3567536?loc=goods_rank
가방,7,5005325217,MASMARULEZ,Daily string bobu bag _ butter cream,62000,46500,11119,https://www.musinsa.com/app/goods/3408132?loc=goods_rank
가방,8,5004514697,MASMARULEZ,Daily string bobu bag _ Black,62000,52700,23326,https://www.musinsa.com/app/goods/3345187?loc=goods_rank
가방,9,JS0A4QUT008,JANSPORT,슈퍼브레이크 BLACK,54000,51200,34532,https://www.musinsa.com/app/goods/1528287?loc=goods_rank
가방,10,FMPSABA102M,MAISON MINED,BUCKLE STRAP HOBO BAG,99000,84150,45415,https://www.musinsa.com/app/goods/1842449?loc=goods_rank
가방,11,21N-017A,STAND OIL,Oblong bag Mini · 오블롱백 미니,"
                                                                                                                                                96000",96000,51844,https://www.musinsa.com/app/goods/2344540?loc=goods_rank
가방,12,PD08BG1003BK,PHYSICAL EDUCATION DEPARTMENT,PHYPS® DRAW STRING SLING BAG BLACK,69000,59000,3568,https://www.musinsa.com/app/goods/3469650?loc=goods_rank
가방,13,CR22A512BK,SCULPTOR,Oldschool Slouchy Backpack Black,84000,58800,20818,https://www.musinsa.com/app/goods/3034743?loc=goods_rank
가방,14,11888901,CRASH BAGGAGE,ICON BLACK 26인치 화물용 캐리어 CBG-2SLU162-01,448000,403200,209,https://www.musinsa.com/app/goods/2535676?loc=goods_rank
가방,15,CR23S501GY,SCULPTOR,Vintage Canvas Duffel Bag Pale Gray,72000,50400,45579,https://www.musinsa.com/app/goods/3034751?loc=goods_rank
가방,16,P0000DFG,MATIN KIM,ACCORDION WALLET IN BLACK,"
                                                                                                                                                88000",88000,55632,https://www.musinsa.com/app/goods/1969507?loc=goods_rank
가방,17,Salt Bag,DUMARO,솔트백,98000,98000,1447,https://www.musinsa.com/app/goods/3446244?loc=goods_rank
가방,18,1047725,MADGOAT,듀얼탑 캔버스 토트백 블랙,"
                                                                                                                                                169000",169000,5282,https://www.musinsa.com/app/goods/1766527?loc=goods_rank
가방,19,23S-039B,STAND OIL,Chubby Bag Combi · 츄비백 콤비,119000,113050,294,https://www.musinsa.com/app/goods/3474455?loc=goods_rank
가방,20,H73117020,CARLYN,[23FW] 소프트 홀로그램 M_H73117020,"
                                                                                                                                                90000",90000,140,https://www.musinsa.com/app/goods/3512062?loc=goods_rank
가방,21,731956VCPQ38803SS23,BOTTEGA VENETA,남성 인트레치아토 카드지갑 - 블랙,490000,290000,9,https://www.musinsa.com/app/goods/3511997?loc=goods_rank
가방,22,CR23S501BK,SCULPTOR,Vintage Canvas Duffel Bag Black,72000,50400,27405,https://www.musinsa.com/app/goods/3034749?loc=goods_rank
가방,23,23M-063A,STAND OIL,Plump bag ·  플럼백,89000,84550,7111,https://www.musinsa.com/app/goods/3061872?loc=goods_rank
