카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
바지,1,TRSDPT02BBL,TRILLION,바이오스톤 워싱 와이드 데님 팬츠 (BEIGE BLUE),54000,28900,44563,https://www.musinsa.com/app/goods/2706287?loc=goods_rank
바지,2,GU01BGR,GAKKAI UNIONS,원턱 와이드 스웨트팬츠 그레이,52000,36400,184279,https://www.musinsa.com/app/goods/2112059?loc=goods_rank
바지,3,MIPS0003-BK,MUSINSA STANDARD,세미 와이드 히든 밴딩 슬랙스 [블랙],"
                                                                                                                                                39900",39900,90144,https://www.musinsa.com/app/goods/1149329?loc=goods_rank
바지,4,GU01BBK,GAKKAI UNIONS,원턱 와이드 스웨트팬츠 블랙,52000,36400,58022,https://www.musinsa.com/app/goods/2112061?loc=goods_rank
바지,5,1804050,WHOLOVESART,유니섹스 세미 와이드 밴딩 슬랙스,54000,35900,235491,https://www.musinsa.com/app/goods/750908?loc=goods_rank
바지,6,2020F11,XERO,Deep One Tuck Sweat Pants [Grey],"
                                                                                                                                                39000",39000,199760,https://www.musinsa.com/app/goods/1551840?loc=goods_rank
바지,7,5005341467,LIKE THE MOST,트레이닝 핀턱 와이드 팬츠 2colors,66400,26560,14254,https://www.musinsa.com/app/goods/3443300?loc=goods_rank
바지,8,23FW,DNSR,레이즈 실루엣 나일론 팬츠,143000,114400,90,https://www.musinsa.com/app/goods/3568783?loc=goods_rank
바지,9,MIPS0004-BK,MUSINSA STANDARD,와이드 히든 밴딩 슬랙스 [블랙],"
                                                                                                                                                41900",41900,93661,https://www.musinsa.com/app/goods/1168906?loc=goods_rank
바지,10,PT024BK,NOT4NERD,Wide String Cargo Slacks Pants Black,89000,39000,108868,https://www.musinsa.com/app/goods/1370101?loc=goods_rank
바지,11,21FLGP20GR,GLW,이지 와이드 데님 팬츠 그레이,52800,42000,121557,https://www.musinsa.com/app/goods/2092852?loc=goods_rank
바지,12,TRSDPT02BG,TRILLION,바이오스톤 워싱 와이드 데님 팬츠 (BLUE GRAY),54000,32400,48448,https://www.musinsa.com/app/goods/2351467?loc=goods_rank
바지,13,23FW,DNSR,딥 포턱 플로우 밴딩 데님 팬츠 그레이,112000,89600,58,https://www.musinsa.com/app/goods/3568846?loc=goods_rank
바지,14,WIDEPANTS-PAC,S'EST,[패키지] 와이드핏 트레이닝 스웨트 팬츠 - 3Color,90000,39900,10786,https://www.musinsa.com/app/goods/1735427?loc=goods_rank
바지,15,MMJPS212-BK,MUSINSA STANDARD,[쿨탠다드] 테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],39900,23890,40171,https://www.musinsa.com/app/goods/1440874?loc=goods_rank
바지,16,MIPS0001-BK,MUSINSA STANDARD,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],"
                                                                                                                                                39900",39900,102387,https://www.musinsa.com/app/goods/1149328?loc=goods_rank
바지,17,AC3498,ANOLORCODE,리자드 데님팬츠 (흑청),49000,36750,2303,https://www.musinsa.com/app/goods/3421113?loc=goods_rank
바지,18,CBCFUWP050CBCFUWP051,CODEGRAPHY,[패키지][FW버전] 나일론 스트링 팬츠 & 카고 팬츠,97900,64900,7960,https://www.musinsa.com/app/goods/3503598?loc=goods_rank
바지,19,2020F10,XERO,Deep One Tuck Sweat Pants [Black],"
                                                                                                                                                39000",39000,43228,https://www.musinsa.com/app/goods/1551839?loc=goods_rank
바지,20,PT042BK,NOT4NERD,Nylon Cargo Wide Pants - Black,89000,39000,23238,https://www.musinsa.com/app/goods/1985224?loc=goods_rank
바지,21,JT04,AGAINST ALL ODDS,원턱 와이드 스웨트 팬츠 [그레이],49800,22800,15207,https://www.musinsa.com/app/goods/3223947?loc=goods_rank
바지,22,Black Stardust - MOD1w,MODNINE,Black Stardust - MOD1w,135000,81000,31253,https://www.musinsa.com/app/goods/2107115?loc=goods_rank
바지,23,21FLGP05KH,GLW,와이드 절개 벌룬팬츠 코튼 카키,74800,59800,56030,https://www.musinsa.com/app/goods/2060759?loc=goods_rank
바지,24,MMCPC802-BK,MUSINSA STANDARD,시티 레저 와이드 벨티드 카고 팬츠 [블랙],66900,60190,3427,https://www.musinsa.com/app/goods/3404707?loc=goods_rank
바지,25,BR481,BRENSON,[패키지] 와이드핏 트레이닝 스웨트 팬츠,59800,43900,88519,https://www.musinsa.com/app/goods/1736085?loc=goods_rank
바지,26,G77700006KK,GAKKAI UNIONS,원턱 와이드 스웨트 카고팬츠 카키,51000,39900,15074,https://www.musinsa.com/app/goods/3095384?loc=goods_rank
바지,27,T1S-MWDPTBL,TOFFEE,모어 와이드 데님 팬츠 (BLEACH),49000,29400,25421,https://www.musinsa.com/app/goods/1778523?loc=goods_rank
바지,28,PT048BL,NOT4NERD,Banding One Tuck Wide Denim Pants - Deep Blue,89000,39800,50566,https://www.musinsa.com/app/goods/2184087?loc=goods_rank
바지,29,MMJPC604-KH,MUSINSA STANDARD,레플리카 퍼티그 팬츠 [카키],"
                                                                                                                                                43900",43900,20593,https://www.musinsa.com/app/goods/1627892?loc=goods_rank
바지,30,D6WP01,AGAINST ALL ODDS,와이드 빅포켓 코튼 카고 밴딩 스트링 팬츠 [카키],69800,29800,2191,https://www.musinsa.com/app/goods/3467384?loc=goods_rank
바지,31,UNION-PT08,UNION BLUE,LOUNGE TWO-TUCK PANTS (CHARCOAL),72000,72000,154,https://www.musinsa.com/app/goods/2193872?loc=goods_rank
바지,32,21FLGP07KH,GLW,와이드 빅포켓 밴딩 카고 팬츠 카키,69000,55200,60730,https://www.musinsa.com/app/goods/2060719?loc=goods_rank
바지,33,DFPT1304BE,DRAW FIT,와이드 밴딩 치노 팬츠 [BEIGE],66000,59400,18587,https://www.musinsa.com/app/goods/2119984?loc=goods_rank
바지,34,JT07,AGAINST ALL ODDS,버뮤다 와이드 원턱 스웨트 쇼츠 [블랙],38000,16800,6958,https://www.musinsa.com/app/goods/3230964?loc=goods_rank
바지,35,DBC8DP03GR,DIMITRI BLACK,원턱 파라슈트 카고 데님팬츠_그레이,47000,32500,5768,https://www.musinsa.com/app/goods/3469210?loc=goods_rank
바지,36,G77700006BK,GAKKAI UNIONS,원턱 와이드 스웨트 카고팬츠 블랙,51000,39900,7970,https://www.musinsa.com/app/goods/3095387?loc=goods_rank
바지,37,1683844,JEMUT,유스 와이드 카고팬츠 4종 블랙 YHLP2159,63000,39800,33229,https://www.musinsa.com/app/goods/890521?loc=goods_rank
바지,38,PA326LD086BK959FW22,LEMAIRE,공용 벨티드 와이드 팬츠 - 다크 그레이,865000,529000,234,https://www.musinsa.com/app/goods/2921762?loc=goods_rank
바지,39,T22PT026,TAKEASY,우먼스 월계수 와이드팬츠(블랙),42000,29400,48750,https://www.musinsa.com/app/goods/2562527?loc=goods_rank
바지,40,G2202PT03BK/G2202PT03BG/G2202PT03GN,GAMMA GALLERY,[7COLOR] 파라슈트 팬츠,98000,46800,25238,https://www.musinsa.com/app/goods/2723714?loc=goods_rank
바지,41,MIPT0004-BE,MUSINSA STANDARD,와이드 치노 팬츠 [베이지],43900,39490,11163,https://www.musinsa.com/app/goods/1115290?loc=goods_rank
바지,42,PT078DB,NOT4NERD,Extra Wide Balloon Pants - Deep Blue,89000,71200,9263,https://www.musinsa.com/app/goods/3206723?loc=goods_rank
바지,43,2021HS04,XERO,Deep One Tuck Sweat Shorts [Grey],"
                                                                                                                                                32000",32000,90925,https://www.musinsa.com/app/goods/1926048?loc=goods_rank
바지,44,LOT1967,BRANDED,1967 JET BLACK JEANS [WIDE STRAIGHT],78000,66300,88074,https://www.musinsa.com/app/goods/1552753?loc=goods_rank
바지,45,TAS-WDDPLB,TOFFEE,와이드 데님 팬츠 (LIGHT BLUE),49000,36500,135108,https://www.musinsa.com/app/goods/858911?loc=goods_rank
바지,46,T3S-GDCDPT210KH,TOFFEE,가먼트 다잉 카고 데님 팬츠 (KHAKI),59000,41300,8969,https://www.musinsa.com/app/goods/3106260?loc=goods_rank
바지,47,PT042GR,NOT4NERD,Nylon Cargo Wide Pants - Light Grey,89000,39000,42651,https://www.musinsa.com/app/goods/1985223?loc=goods_rank
바지,48,D6DT01,AGAINST ALL ODDS,이지 와이드 데님 팬츠 [미디엄 블루],69800,28900,3630,https://www.musinsa.com/app/goods/3467143?loc=goods_rank
바지,49,MMAPS301-BK,MUSINSA STANDARD,[쿨탠다드] 와이드 히든 밴딩 슬랙스 [블랙],43900,28490,20487,https://www.musinsa.com/app/goods/1989228?loc=goods_rank
바지,50,MMANP005-CR,MUSINSA STANDARD,스트레이트 데님 팬츠 [크림],"
                                                                                                                                                49900",49900,27020,https://www.musinsa.com/app/goods/2028326?loc=goods_rank
바지,51,JT07,AGAINST ALL ODDS,버뮤다 와이드 원턱 스웨트 쇼츠 [그레이],38000,16800,30645,https://www.musinsa.com/app/goods/3231055?loc=goods_rank
바지,52,BSLP22SBLDEPABW,BESLOW,22SS COMFY TWISTED SEAM DENIM PANTS BLACK WASHED,79000,79000,660,https://www.musinsa.com/app/goods/2368410?loc=goods_rank
바지,53,U22-BD02-ID,URBANSTOFF,듀러블 롱 벌룬 팬츠 (인디고),74000,66600,24751,https://www.musinsa.com/app/goods/2749153?loc=goods_rank
바지,54,MIPS0002-BK,MUSINSA STANDARD,테이퍼드 히든 밴딩 10부 슬랙스 [블랙],"
                                                                                                                                                39900",39900,16103,https://www.musinsa.com/app/goods/1168907?loc=goods_rank
바지,55,Punk Town - MOD7,MODNINE,Punk Town - MOD7,128000,89600,7735,https://www.musinsa.com/app/goods/2725611?loc=goods_rank
바지,56,FTTP001,ANOLORCODE,사계절 쓰리턱 트레이닝팬츠 (2color),62000,43400,40931,https://www.musinsa.com/app/goods/2744549?loc=goods_rank
바지,57,TRSDPT02CR,TRILLION,바이오스톤 워싱 와이드 데님 팬츠 (CREAM),54000,32400,20035,https://www.musinsa.com/app/goods/2711142?loc=goods_rank
바지,58,TRSDPT02GR,TRILLION,바이오스톤 워싱 와이드 데님 팬츠 (DEEP GRAY),54000,39800,27106,https://www.musinsa.com/app/goods/2351444?loc=goods_rank
바지,59,1054719,SUARE,린넨 라이크 세미 와이드 밴딩 팬츠 세트,66000,49900,110842,https://www.musinsa.com/app/goods/1924274?loc=goods_rank
바지,60,P1003,PUBLIC ICON,P[1003]롱 와이드 코튼팬츠(베이지),68000,32000,58092,https://www.musinsa.com/app/goods/957401?loc=goods_rank
바지,61,DFPT0006GY,DRAW FIT,[드로우핏X깡스타일리스트] 투턱 밴딩 와이드 슬랙스 [GREY],63000,49800,3564,https://www.musinsa.com/app/goods/3154648?loc=goods_rank
바지,62,23SS07,AVANDRESS,Snow cargo Denim BLACK,78000,54600,23915,https://www.musinsa.com/app/goods/3263933?loc=goods_rank
바지,63,21FLGP07BK,GLW,와이드 빅포켓 밴딩 카고 팬츠 블랙,69000,55200,37396,https://www.musinsa.com/app/goods/2060720?loc=goods_rank
바지,64,FMPSCPS103M,MAISON MINED,SAINT TWO TUCK WIDE PANTS BROWN,89000,71200,4165,https://www.musinsa.com/app/goods/1803235?loc=goods_rank
바지,65,MMCPC802-KH,MUSINSA STANDARD,시티 레저 와이드 벨티드 카고 팬츠 [카키],66900,60190,2166,https://www.musinsa.com/app/goods/3404709?loc=goods_rank
바지,66,MMJNP006-LI,MUSINSA STANDARD,와이드 데님 팬츠 [라이트 인디고],"
                                                                                                                                                49900",49900,37283,https://www.musinsa.com/app/goods/1666442?loc=goods_rank
바지,67,COONTUSEDEPAIN,BESLOW,COMFY ONE TUCK SELVAGE DENIM PANTS INDIGO,99000,59400,27231,https://www.musinsa.com/app/goods/1759490?loc=goods_rank
바지,68,G2202PT01BK,GAMMA GALLERY,멀티 카고 팬츠[BLACK],116000,46400,9715,https://www.musinsa.com/app/goods/2789716?loc=goods_rank
바지,69,M4205TDDFW23,OUR LEGACY,남성 써드컷 디지털 프린트 데님 팬츠 - 라이트 블루,650000,363000,15,https://www.musinsa.com/app/goods/3495498?loc=goods_rank
바지,70,SSL-001,SIGNATURE,더블턱 와이드 슬랙스[블랙],59000,39900,51883,https://www.musinsa.com/app/goods/2578996?loc=goods_rank
바지,71,lot.026ow,DEMIL,LOT.026 헐리우드 슬림 데님 오프 화이트,119000,113050,608,https://www.musinsa.com/app/goods/1843166?loc=goods_rank
바지,72,TRTHSSNP15UC6,TRAVEL,워크샵 사이드 스냅 팬츠 블랙,89000,59900,6406,https://www.musinsa.com/app/goods/3048830?loc=goods_rank
바지,73,UB-109,UNIFORM BRIDGE,cotton fatigue pants regular fit beige,69000,62100,22591,https://www.musinsa.com/app/goods/241111?loc=goods_rank
바지,74,MMBPS404-BK,MUSINSA STANDARD,리사이클 원 턱 릴렉스드 테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],43900,30690,4789,https://www.musinsa.com/app/goods/2477843?loc=goods_rank
바지,75,21FLGP19BK,GLW,이지 와이드 데님 팬츠 블랙,52800,42000,72583,https://www.musinsa.com/app/goods/2092849?loc=goods_rank
바지,76,Turn me On Black - MOD1w,MODNINE,Turn me On Black - MOD1w,135000,97200,9337,https://www.musinsa.com/app/goods/2107114?loc=goods_rank
바지,77,SH7865,ANOLORCODE,리자드  데님팬츠 (중청),49000,36750,1389,https://www.musinsa.com/app/goods/3421096?loc=goods_rank
바지,78,JT20,AGAINST ALL ODDS,이지 와이드 원턱 밴딩 슬랙스 [블랙],49000,21800,6279,https://www.musinsa.com/app/goods/3304078?loc=goods_rank
바지,79,MMAPS009-BK,MUSINSA STANDARD,쓰리 턱 세미 벌룬 슬랙스 [블랙],47900,40690,15309,https://www.musinsa.com/app/goods/2116441?loc=goods_rank
바지,80,MMANP005-MI,MUSINSA STANDARD,스트레이트 데님 팬츠 [미디엄 인디고],"
                                                                                                                                                49900",49900,8620,https://www.musinsa.com/app/goods/2028328?loc=goods_rank
바지,81,UB-301,UNIFORM BRIDGE,selvedge denim pants deep indigo,109000,98100,29506,https://www.musinsa.com/app/goods/396185?loc=goods_rank
