카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
속옷,1,MHMP0001,MUSINSA STANDARD,맨즈 드로즈 3팩,"
                                                                                                                                                21900",21900,19307,https://www.musinsa.com/app/goods/803032?loc=goods_rank
속옷,2,MMJMP001,MUSINSA STANDARD,[쿨탠다드] 맨즈 드로즈 3팩,"
                                                                                                                                                27900",27900,14580,https://www.musinsa.com/app/goods/1504726?loc=goods_rank
속옷,3,2180035,PLAYBOY,남성 남자 어위크 패키지 드로즈 7매입 팬티 세트 PMD2108,"
                                                                                                                                                29900",29900,5963,https://www.musinsa.com/app/goods/2603332?loc=goods_rank
속옷,4,NP2312OUB1,CALVIN KLEIN UNDERWEAR,남성 웨이스트밴드 코튼 스트레치 버라이어티 3PK 트렁크_NP2312OUB1,79000,71100,10116,https://www.musinsa.com/app/goods/2054418?loc=goods_rank
속옷,5,OBMDR894CL,GUESS UNDERWEAR,실버블랙 로고밴딩 드로즈 6PACK,234000,70000,3520,https://www.musinsa.com/app/goods/2108176?loc=goods_rank
속옷,6,CFADR371-BNC,CODES COMBINE INNERWEAR,베이직 컬러 남성 드로즈 3PACK (블랙/네이비/챠콜),66000,36000,8620,https://www.musinsa.com/app/goods/1392057?loc=goods_rank
속옷,7,SPPPD49U04,SPAO,(먼작귀) 먼가 작고 귀여운 긴팔 잠옷(NAVY)_SPPPD49U04,"
                                                                                                                                                39900",39900,498,https://www.musinsa.com/app/goods/3446979?loc=goods_rank
속옷,8,Greekw,JOSLOUNGE,[웜모달] (w) Greek Pajama Set,98000,94080,3,https://www.musinsa.com/app/goods/3348521?loc=goods_rank
속옷,9,ZIKLAG230102418,ZIKLAG,맨즈 에센셜 드로즈 4PACK,59900,59900,271,https://www.musinsa.com/app/goods/3101568?loc=goods_rank
속옷,10,SPPPD49U07,SPAO,(다이노탱) 다이노탱 긴팔 잠옷(NAVY)_SPPPD49U07,"
                                                                                                                                                39900",39900,1758,https://www.musinsa.com/app/goods/3446965?loc=goods_rank
