카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
주얼리,1,06,QUARQOR,#3106 RING,25000,18750,14032,https://www.musinsa.com/app/goods/1717973?loc=goods_rank
주얼리,2,8,BYWEEKEND,silver925 big plat earring,"
                                                                                                                                                43000",43000,66,https://www.musinsa.com/app/goods/2321689?loc=goods_rank
주얼리,3,N065,DOHAS,freedom leather necklace,"
                                                                                                                                                28000",28000,3247,https://www.musinsa.com/app/goods/3034777?loc=goods_rank
주얼리,4,FTQFAXA812M,MARTIN PLAN,Slim Aim Ring,32000,30400,2372,https://www.musinsa.com/app/goods/2685504?loc=goods_rank
주얼리,5,JALJHP3BS807FA000,JESTINA,LALA J 새틴 리본 헤어집게핀 (JALJHP3BS807FA000),99000,47200,273,https://www.musinsa.com/app/goods/3105742?loc=goods_rank
주얼리,6,DFJW2203SV,DRAW FIT,레이어드 체인 써지컬 팔찌 [SILVER],25000,22500,7275,https://www.musinsa.com/app/goods/2570743?loc=goods_rank
주얼리,7,LPFL1A17G400000000,LLOYD,원형 큐빅 14K 귀걸이 (9종 택1),"
                                                                                                                                                39900",39900,1241,https://www.musinsa.com/app/goods/2181027?loc=goods_rank
주얼리,8,JALJHP3BS802FA000,JESTINA,LALA J 리본 헤어핀 - 블랙 (JALJHP3BS802FA000),49000,39200,891,https://www.musinsa.com/app/goods/3045318?loc=goods_rank
주얼리,9,DF22SS11012,DOFFJASON,카우하이드 체인 로프 레더 팔찌 BLACK,46000,39000,3542,https://www.musinsa.com/app/goods/2541647?loc=goods_rank
주얼리,10,FTRMAXA813M,MARTIN PLAN,Flat Flower Ring,39000,37000,988,https://www.musinsa.com/app/goods/3326349?loc=goods_rank
주얼리,11,fw1,KINDABABY,tiny pearls head band,46000,29900,95,https://www.musinsa.com/app/goods/2286307?loc=goods_rank
주얼리,12,1,NONENON,BIG BLOOM NEC,35000,28000,1756,https://www.musinsa.com/app/goods/2031098?loc=goods_rank
주얼리,13,JALJHS2BF820FA000,JESTINA,LALA J 헤어 스크런치 - 코지 그레이 (JALJHS2BF820FA000),70000,28000,241,https://www.musinsa.com/app/goods/2642452?loc=goods_rank
주얼리,14,DP2212HB001MBBM,DEPOUND,새틴 헤어밴드 미디움 [블랙],"
                                                                                                                                                28000",28000,167,https://www.musinsa.com/app/goods/3104620?loc=goods_rank
주얼리,15,1MG23SAC106,MARITHE FRANCOIS GIRBAUD,DENIM LOGO HAIR BAND blue,39000,27300,734,https://www.musinsa.com/app/goods/3037447?loc=goods_rank
주얼리,16,N067,DOHAS,leather hook necklace,"
                                                                                                                                                27000",27000,892,https://www.musinsa.com/app/goods/3247997?loc=goods_rank
주얼리,17,20ss cuff,SSY,[서지컬]핸드커프스 체인 팔찌,26000,13000,411,https://www.musinsa.com/app/goods/1473721?loc=goods_rank
주얼리,18,22 fw acc 1,KINDABABY,adorable pearl velvet ribbon,37000,25900,117,https://www.musinsa.com/app/goods/2955387?loc=goods_rank
주얼리,19,202-305,POSTLUDE,[SILVER] SV S CU R EARRING,35000,24500,3718,https://www.musinsa.com/app/goods/1490905?loc=goods_rank
주얼리,20,AC22FW04,ACHA,써지컬스틸 고양이 양면 목걸이 _ 실버,"
                                                                                                                                                21000",21000,804,https://www.musinsa.com/app/goods/2834291?loc=goods_rank
주얼리,21,AC23SS05,ACHA,써지컬스틸 메테오 펜던트 목걸이 _ 실버,22000,17600,140,https://www.musinsa.com/app/goods/3273694?loc=goods_rank
